dwd_id,wmo_id,name
2856,F707,Langenlipsdorf
2278,F736,Hohenbucko
3083,F742,Lübben-Blumenfelde
504,F757,"Bischdorf, Kreis Oberspreewald"
2997,F770,Lieberose
1744,F878,Graustein
1210,F925,Elsterwerda
2627,F951,Klettwitz
400,G002,Berlin-Buch
420,G005,Berlin-Marzahn
410,G006,Berlin-Kaniswall
5513,H009,Westerkappeln
4063,H012,Rahden-Kleinendorf
3913,H027,Petershagen
4849,H058,Steinfurt-Burgsteinfurt
2254,H061,Hörstel-Riesenbeck
3081,H081,Espelkamp-Isenstedt
871,H119,Coesfeld
2999,H142,Lienen-Kattenvenne
13669,H145,Ostbevern-Schirlheide
1241,H170,Enger
7106,H174,Bielefeld-Deppendorf
2629,H203,Kleve
902,H212,Dahlem-Schmidtheim
4150,H235,Reken
6337,H247,Lüdinghausen-Brochtrup
1046,H257,Drensteinfurt
2027,H261,Harsewinkel
13693,H265,Gütersloh/Ems
2810,H281,"Lage, Kreis Lippe-Hörste"
5733,H311,Xanten
15190,H312,Xanten (Wasserwerk)
13901,H330,Haltern (Wasserwerk)
3795,H333,Olfen
1595,H336,Gelsenkirchen-Buer
1246,H361,Ennigerloh-Ostenfelde
934,H372,Delbrück
4368,H376,Salzkotten
3031,H377,Lippstadt-Bökenförde
644,H391,Brakel
1590,H401,Geldern-Walbeck
617,H411,Borken in Westfalen
554,H412,Bocholt-Liedern (Wasserwerk)
13670,H419,Duisburg-Baerl
989,H420,Dinslaken
13696,H443,Waltrop-Abdinghof
4400,H460,"Sassendorf, Bad-Beusingsen"
4313,H475,Rüthen
5699,H477,Wünnenberg-Eilern
613,H492,Borgentreich
7344,H512,Nettetal-Hülst
5064,H522,Tönisvorst
13700,H542,Gevelsberg-Oberbröking
6313,H543,Breckerfeld-Wengeberg
5717,H547,Wuppertal-Buchenhofen
15200,H548,Wuppertal
3499,H568,Neuenrade-Blintrop
7330,H572,Arnsberg-Neheim
13952,H573,Arnsberg-Müschede
1300,H579,Eslohe
5360,H581,Warstein-Hirschberg
15120,H590,Haaren
6264,H591,Brilon-Thülen
2110,H606,Heinsberg-Schleiden
4127,H612,Reichshof-Eckenhagen
1024,H635,Dormagen-Zons
4741,H641,Solingen-Hohenscheid
5619,H655,Wipperfürth-Gardeweg
13713,H658,Meinerzhagen-Redlendorf
216,H669,Attendorn-Neulisternohl
2947,H678,Lennestadt-Theten
4488,H681,Schmallenberg-Sellinghausen
3215,H695,Medebach-Berge
2473,H718,Jülich (Kläranlage)
7378,H721,Bedburg-Weiler Hohenholz
2968,H744,Köln-Stammheim
13671,H755,Overath-Böke
3321,H768,Mönchengladbach-Hilderath
5468,H777,Wenden-Dörnscheid
389,H791,"Berleburg, Bad-Arfeld"
390,H795,"Berleburg, Bad-Stünzel"
3591,H827,Nideggen-Schmidt
3540,H862,Neunkirchen-Seelscheid-Krawinkel
7416,H884,Birkelbach
796,H889,Burbach-Würgendorf
3339,H908,Monschau-Kalterherberg
1327,H932,Weilerswist-Lommersum
2497,H981,Kall-Sistig
3904,J702,Perl-Nennig
3263,J709,Merzig
5433,J728,Weiskirchen/Saar
3625,J731,Nohfelden-Gonnesweiler
4490,J812,Schmelz-Hüttersdorf
3545,J815,Neunkirchen-Wellesweiler
2331,J846,Homburg/Saar
6217,J908,Saarbrücken-Burbach
2211,K017,Hilgenroth
7499,K026,Wallmenroth
3490,K038,"Neuenahr, Bad-Ahrweiler"
2362,K057,Hümmerich
15044,K158,Neuwied-Feldkirchen-Hüllenberg
4508,K210,Schneifelforsthaus
4279,K212,Roth bei Prüm
2213,K219,Lissendorf
4219,K230,Rodder
3340,K282,Montabaur
978,K295,Holzheim bei Diez
5616,K300,Winterspelt
200,K308,Lauperath-Scheidchen
4017,K310,Prüm-Watzerath
942,K318,Densborn
3602,K326,Oberstadtfeld
723,K354,Kail
1598,K380,Oberbachheim
1964,K419,Olsdorf
3155,K440,Manderscheid-Sonnenhof
5635,K446,Wittlich
535,K463,Blankenrath
4709,K471,Simmern-Wahlbach
3584,K509,Newel
5758,K515,Zemmer (Forsthaus Mülchen)
4301,K568,"Kreuznach, Bad"
15976,K579,Ober-Olm/Bellem
3137,K584,Mainz-Lerchenberg (ZDF)
6100,K589,Hahnheim
5099,K611,Trier-Zewen
2595,K650,Kirn
316,K666,Bayerfeld-Steckweiler -Schmalfelderhof
150,K685,Alzey
5692,K699,Worms
3905,K706,Perl-Sinz-Renglischberg
1650,K747,Henschtal
1011,K761,Dörrmoschel-Felsbergerhof
4323,K762,Ruppertsecken
1870,K784,Grünstadt
2486,K863,Kaiserslautern
15978,K864,Sembach
5103,K866,Trippstadt-Neuhof
1072,K881,"Dürkheim, Bad"
3939,K925,Pirmasens
4310,K969,Rülzheim
377,K988,"Bergzabern, Bad"
5086,L021,Trendelburg
5279,L031,Wesertal-Lippoldsberg
961,L052,Diemelstadt-Rhoden
2988,L071,Liebenau-Haueda
6303,L101,Willingen/Hochsauerland
2718,L113,Korbach-Rhena
5133,L121,Twistetal-Mühlhausen
5297,L125,Waldeck-Alraft
194,L130,"Arolsen-Landau, Bad"
197,L131,"Arolsen-Volkhardinghausen, Bad"
5646,L171,Witzenhausen-Ziegenhagen
310,L201,Battenberg-Hof Karlsburg
5851,L215,Frankenberg-Geismar
817,L217,Burgwald-Bottendorf
5240,L222,Vöhl-Buchenberg
5263,L245,Wabern-Hebel
4763,L286,Sontra
1297,L291,Eschwege
13701,L292,Eschwege-Eltmannshausen
2152,L299,Herleshausen-Archfeld
15490,L300,Eschenburg-Eibelshausen
5524,L312,Wetter/Hessen-Amönau
3164,L319,"Cölbe, Kr. Marburg-Biedenkopf"
1645,L340,Gilserberg-Moischeid
3527,L355,Neukirchen-Hauptschwenda
1055,L409,Driedorf
979,L411,Dillenburg
158,L442,Amöneburg-Rüdigheim
90,L463,Alsfeld
91,L464,Alsfeld-Eifa
2066,L483,Haunetal-Wehrda
5294,L505,Waldbrunn-Lahr
3042,L511,Löhnberg-Obershausen
211,L521,Aßlar Klein-Altenstädten
4560,L555,Schotten
2897,L561,Lautertal-Hörgenau
3911,L582,Petersberg-Marbach
1526,L585,Fulda-Horas
4978,L592,Tann/Rhön
6344,L602,Runkel-Ennerich
5416,L612,Weilmünster
837,L617,"Camberg, Bad"
3413,L631,Münzenberg-Gambach
3442,L635,"Nauheim, Bad"
1561,L652,Gedern-Schönhausen
4480,L678,Schlüchtern-Herolz
1750,L685,Grebenstein
2293,L714,Hohenstein-Breithardt
5300,L722,Waldems-Reinborn
2329,L732,"Homburg, Bad (Filterwerk)"
5225,L744,"Vilbel, Bad-Dortelweil"
3589,L751,Nidderau-Erbstadt
1863,L771,Gründau-Breitenborn
479,L773,Wächtersbach
4308,L803,Rüdesheim-Presberg
5542,L819,Wiesbaden-Biebrich
5541,L821,Wiesbaden-Auringen
4090,L829,Raunheim
1424,L841,Frankfurt/Main-Westend
3136,L850,Mühlheim/Main
1814,L865,Groß-Gerau-Wallerstädten
917,L886,Darmstadt
4230,L891,Rödermark-Ober-Roden
4132,L892,Reinhardshagen-Vaake
4411,L894,Schaafheim-Schlierbach
2900,L926,Lautertal/Odenwald-Reichenbach
3284,L947,Michelstadt
14157,L979,Birkenau
7391,L987,Oberzent-Beerfelden-Vogelherd
330,L988,Oberzent-Beerfelden
5484,M031,Ellrich-Werna
4135,M056,Reinholterode
2562,M146,Helbedündorf-Keula
6305,M225,Mühlhausen/Thüringen-Görmar
3304,M259,Freienbessingen
1320,M281,Etzleben
7321,M299,Olbersleben
5084,M301,Südeichsfeld-Wendehausen
896,M348,Dachwig
87,M357,Alperstedt
6272,M405,Moorgrund Gräfen-Nitzendorf
336,M412,Hörselberg-Hainich-Behringen
379,M439,"Berka, Bad (Flugplatz)"
5424,M448,Weimar-Schöndorf
6271,M473,Crossen/Elster-Nickelsdorf
3279,M480,Meuselwitz
4997,M488,Starkenberg-Tegkwitz
7328,M500,Ponitz
5335,M520,Waltershausen
2444,M552,Jena (Sternwarte)
753,M557,Bucha
550,M565,Bobeck
2618,M620,Kleiner Inselsberg
3364,M640,Drei Gleichen-Mühlberg
962,M651,Stadtilm-Dienstedt
6268,M669,Uhlstädt-Kirchhasel-Niederkrossen
5395,M691,Harth-Pöllnitz Neundorf
1573,M700,Geisa
3204,M732,Martinroda
4605,M756,Schwarzburg
13711,M765,Krölpa-Rockendorf
3289,M772,Schmieritz-Weltwitz
7419,M799,Langenwetzendorf-Göttendorf
1411,M805,Birx/Rhön
1435,M833,Ilmenau-Frauenwald
4469,M834,Schleusingen
2541,M846,Katzhütte
2992,M879,Remptendorf
6270,M909,Römhild-Sülzdorf
7428,M927,Veilsdorf
3248,M938,Frankenblick-Mengersgereuth-Hämmern
3491,M945,Föritztal-Neuenbau
3034,M965,"Lobenstein, Bad"
2233,M978,Hirschberg
7421,M998,Föritztal-Neuhaus-Schierschnitz
966,N104,Diesdorf
7372,N158,Ballerstedt
4618,N182,Schwarzholz
4555,N199,Schollene
2662,N214,Köckte
1770,N268,Grieben
6273,N272,Demker
7285,N305,Bösdorf
622,N315,Westheide-Born
874,N345,Zielitz
797,N366,Burg-Blumenthal
1052,N398,Drewitz bei Burg
1847,N426,Weißenfels-Wengelsdorf
630,N435,Bottmersdorf-Klein Germersleben
4412,N440,Schackensleben
2673,N463,Königsborn
775,N500,Osterwieck-Rimbeck
213,N511,Sargstedt
6266,N520,Huy-Pabstorf
1793,N532,Hecklingen-Groß Börnecke
287,N543,Walternienburg-Ronney
445,N548,Bernburg/Saale (Nord)
7500,N553,Badewitz bei Zerbst
1067,N563,Düben
7364,N566,Jeßnitz
3445,N587,Jessen (Elster)-Naundorf
4445,N601,Wernigerode-Schierke
4878,N616,Oberharz am Brocken-Stiege
4032,N620,Quedlinburg
3226,N632,Aschersleben-Mehringen
2704,N652,Köthen (Anhalt)
4052,N671,Kemberg-Radis
974,N714,Südharz-Dietersdorf
5814,N731,Mansfeld-Annarode
4036,N748,Querfurt-Mühle Lodersleben
815,N750,Seegebiet Mansfelder Land-Dederstedt
2878,N769,"Lauchstädt, Bad"
124,N815,"Bibra, Bad-Altenroda"
5763,N855,Freyburg/Unstrut-Zeuchfeld
7420,N924,Naumburg/Saale-Kreipitzsch
5750,N977,Zeitz
3426,O025,"Muskau, Bad"
721,O039,Schönwölkau-Brinnis
2641,O057,Klitzschen bei Torgau
7423,O099,Hähnichen-Trebus
1166,O120,Eilenburg
7323,O141,Belgershain
633,O182,Boxberg
1848,O204,Markranstädt-Großlehna
7334,O248,Heyda bei Riesa
7335,O251,Strauch
3094,O268,Kamenz-Cunnersdorf
13688,O305,Pegau
7326,O322,Grimma-Kleinbothen
3234,O348,Garsebach bei Meißen
314,O384,"Kubschütz, Kr. Bautzen"
1051,O457,Dresden-Strehlen
1050,O458,Dresden-Hosterwitz
4023,O461,Pulsnitz
6129,O484,Sohland/Spree
2958,O499,Ostritz
131,O510,Geringswalde-Altgeringswalde
6314,O536,Nossen
1441,O538,Freiberg
13654,O543,Wilsdruff-Mohorn
3740,O566,Lohmen/Sachsen
7337,O580,Dürrhennersdorf
2252,O598,Bertsdorf-Hörnitz
7327,O625,Frankenberg-Altenhain
991,O660,Dippoldiswalde-Reinberg
13774,O708,Crimmitschau-Mannichswalde
7418,O725,Sankt Egidien-Kuhschnappel
5943,O795,Rosenthal-Bielatal
5797,O805,Lichtentanne
7343,O842,Deutschneudorf-Brüderwiese
7333,O846,Marienberg-Rübenau
222,O863,Aue
7329,O868,Treuen
2372,O877,Stützengrün-Hundshübel
4982,O882,Tannenberg
3175,O888,Raschau
551,O950,Weischlitz-Heinersgrün
6269,O974,Klingenthal-Kamerun
1207,O980,"Elster, Bad-Sohl"
1282,O993,Erlbach-Eubabrunn
3700,P004,Oberleichtersbach-Modlos
4377,P013,Sandberg
3836,P022,Ostheim v.d. Rhön
